concept1,concept2,textures,mse,range
frog,lion,"M53, P53, P0, F0, F24, G24",0.00122614879301351,0.994557488176775
corn,eggplant,"S24, S0, S22, G51, M24, P75",0.00151508030089533,0.976251785658384
evil,peace,"F53, S22, P102, G75, G53, G51",0.00128983109135215,0.991229057735958
comfort,speed,"M53, M0, S51, M24, P0, P75",0.00167629775701912,0.9243171586415267
comfort,speed,"P0, S51, M53, M24, M0, P75",0.00167629775701912,0.9243171586415267
