concept1,concept2,textures,mse,range
corn,eggplant,"P24, G0, P22, F51, S24, F24",7.613908745566409e-4,0.936945537965381
corn,eggplant,"S53, G51, M102, P53, S24, G53",9.86842797276816e-4,0.9012293678806275
corn,eggplant,"S75, G53, F75, M51, G102, G22",0.0011752011396791518,0.882587998983431
corn,eggplant,"M75, S53, P22, G22, F24, P24",0.0012416103616320093,0.8830026338959355
corn,eggplant,"G22, G53, P75, P24, F102, S102",0.0012499819735517382,0.9187303714470334
corn,eggplant,"G22, P24, M75, P22, P0, P53",0.0010759794004947362,0.8889078521064695
corn,eggplant,"F22, G102, P0, M24, F53, S24",0.0015202414690379828,0.9624668152023049
corn,eggplant,"S53, S102, G51, P53, G53, S24",9.42609522811759e-4,0.9133139333172824
corn,eggplant,"S0, F75, G22, M102, M75, S24",0.0011981908928058766,0.8797032100401336
corn,eggplant,"G102, F53, M24, P53, S53, S24",8.695301112481089e-4,0.9589712383539359
corn,eggplant,"G75, M102, F75, S0, S51, S22",0.0010009906540886378,0.925303111554669
corn,eggplant,"S24, P102, M53, F51, G53, F53",0.0010260762985604562,0.937606731597695
corn,eggplant,"G0, S24, S22, M22, M0, F75",9.476869273720822e-4,0.9420310815291859
corn,eggplant,"S0, S51, M51, G75, S22, M102",8.639357085606649e-4,0.925303111554669
corn,eggplant,"G53, G0, M51, M22, F22, P53",9.89565528787185e-4,0.8874479711162632
corn,eggplant,"F75, G22, M102, S0, M75, S51",0.0014589149720263075,0.8797032100401336
corn,eggplant,"S24, P75, F53, F24, G51, P24",0.0010331199692239902,0.9203963752928971
corn,eggplant,"S22, S51, M51, M102, S0, P22",9.857240498868628e-4,0.925303111554669
corn,eggplant,"M102, G51, S24, M0, F53, P0",0.0011758857908386608,0.936209412136977
corn,eggplant,"S24, G51, M53, F102, P0, G53",0.0010873661949310875,0.948779533352084
corn,eggplant,"M53, G51, S24, S53, S102, S51",0.0012381515836508172,0.965106739011707
corn,eggplant,"M0, S22, S24, G51, G102, S53",7.241887924611593e-4,0.948217676596317
corn,eggplant,"P22, P24, M24, G0, S24, S22",0.0010568276886837899,0.9614544440930829
corn,eggplant,"G51, S24, S53, G53, M53, F102",0.0011876558182986414,0.94365648964078
corn,eggplant,"G102, G53, F53, M53, S24, S51",0.0011797557813588682,0.940066099826593
corn,eggplant,"P51, S51, M24, F51, F53, P75",0.0012370783418721573,0.9157129801682707
corn,eggplant,"G53, S24, F0, G24, S102, M24",0.001163109224941903,0.967658466277053
corn,eggplant,"S51, S22, S75, P22, S0, G22",9.152187147030628e-4,0.9297944698591051
corn,eggplant,"S0, S24, F53, P53, P102, F24",0.0010800872051615047,0.93838590124062
corn,eggplant,"S0, F102, M0, F24, F53, G51",0.0011562116682841577,0.9325556327099597
corn,eggplant,"F102, M75, P0, G22, S22, S51",0.0011491486281093905,0.913877913919045
corn,eggplant,"G102, F24, S24, S0, S22, G24",0.0011939628784265032,0.9397979035938151
corn,eggplant,"M51, F53, S22, F51, M53, P75",0.0015119910568331847,0.8843170431903233
corn,eggplant,"P24, F102, G53, G102, M102, M51",0.0014837696179173237,0.9017612183406661
corn,eggplant,"S51, P75, F22, M0, F24, F75",0.0013999766132909077,0.9071623333216706
corn,eggplant,"S22, M51, P22, M102, P0, S51",0.00104925428190358,0.9227230856624881
corn,eggplant,"G22, G75, P0, F75, M51, G51",0.001525857122508859,0.8513724656981364
corn,eggplant,"F102, M75, G22, S22, P0, S51",0.0011491486281093905,0.913877913919045
corn,eggplant,"P24, M75, M22, S22, F22, F0",0.001180963518692249,0.8885227607145252
corn,eggplant,"G53, M24, S24, P102, S51, F53",0.0014945311975738545,0.926945000396764
corn,eggplant,"P53, S53, F53, M53, S24, S102",0.0012794969548882537,0.965106739011707
corn,eggplant,"F24, P0, S51, P102, G51, M24",0.001719220073922893,0.9415110945403622
corn,eggplant,"S75, G51, M53, S24, S0, G53",9.080352347859233e-4,0.964696089292144
corn,eggplant,"G22, G0, P22, F24, M22, S24",9.242402940859484e-4,0.936945537965381
corn,eggplant,"F75, S53, F102, M51, S51, G75",0.0014273171299162915,0.8906676794665134
corn,eggplant,"F102, P102, P75, S22, M75, F53",0.0015542603544894406,0.8972855628307624
corn,eggplant,"G0, M24, S51, S24, P22, G22",0.0012143379372792271,0.9614544440930829
corn,eggplant,"S53, S24, F24, S75, P53, F53",7.331598533437533e-4,0.9229214236114371
corn,eggplant,"F53, S53, G53, S75, M53, S24",0.0010734711496801711,0.95809206094007
corn,eggplant,"P24, F75, G22, F24, S53, M75",0.0012574239692155931,0.8830026338959355
corn,eggplant,"M102, P0, M22, M51, G22, P24",0.001504855450262111,0.9123787121693004
corn,eggplant,"S75, G53, P24, M51, M102, M75",0.0010964905501160353,0.8886097753267317
corn,eggplant,"P24, S75, F0, P51, F51, G22",0.0015667735284731793,0.9278975339546784
corn,eggplant,"F0, S24, F24, F53, G51, P102",0.001427412261728974,0.9452641212216681
corn,eggplant,"M0, F22, G53, G102, S51, M53",0.0011310384626786478,0.9099678460150494
corn,eggplant,"F0, F75, G75, M22, G22, P53",0.001401490407986942,0.8719232644974864
corn,eggplant,"S24, G0, S53, F22, M0, P51",0.001422845770289069,0.9258687310696939
corn,eggplant,"G0, F22, G51, P53, F51, P22",0.0010757767741128407,0.8996782921784001
corn,eggplant,"F53, F24, G51, S24, F0, M102",0.001245396419954181,0.9342976609646241
corn,eggplant,"M51, P51, P22, S22, S53, S75",0.0015810921771238484,0.9444741042513487
corn,eggplant,"S24, G51, S53, S75, S51, F24",0.0012777107957434265,0.9229214236114371
corn,eggplant,"S0, S75, G22, M102, M75, S22",0.0013094368835333144,0.9312600443106317
corn,eggplant,"G22, P102, P24, P0, S22, F102",0.0012343262630785967,0.9264003633935004
corn,eggplant,"F22, P0, S24, G0, F24, P51",0.001266515014029231,0.9121133866996111
corn,eggplant,"M24, S24, G24, S53, S22, S102",0.00156730102336497,0.9544450078107759
corn,eggplant,"S102, P51, P22, P0, S22, G22",0.0014317187669642107,0.8778827718727663
corn,eggplant,"F102, S24, G51, M0, F53, F0",0.0012750091923467535,0.9409006062641939
corn,eggplant,"P102, P51, P22, M102, F102, G53",0.001051691927586541,0.8993018501117682
corn,eggplant,"F53, S75, S24, G51, M53, S53",0.001235913438325657,0.95809206094007
corn,eggplant,"S0, S24, M53, G51, G53, M102",8.791100177945152e-4,0.960204730987708
corn,eggplant,"G53, M75, G75, G102, F51, F75",0.0011935712234520518,0.8870772896523264
corn,eggplant,"P75, G24, F24, S24, S22, S53",0.0012337851081554501,0.9483350391107581
corn,eggplant,"M102, G53, P22, P51, F102, P102",0.001051691927586541,0.8993018501117682
corn,eggplant,"P22, G0, P24, S24, M22, M24",0.0011849749368689883,0.9614544440930829
corn,eggplant,"G22, F75, F51, S0, M102, F102",0.0012068186314199267,0.9218998495017812
corn,eggplant,"P0, S22, G22, F102, S102, P24",0.001147336721610099,0.9236659807884514
corn,eggplant,"F75, F0, P53, G53, F53, P0",0.0013608504173165236,0.855601938958908
corn,eggplant,"S22, F102, G75, P51, S51, F0",8.901362743710749e-4,0.927414279789705
corn,eggplant,"F51, G22, F102, M51, M75, P0",0.0010786708829008836,0.8904980835613164
corn,eggplant,"S0, M75, S51, F102, S22, G22",0.0010607982510809943,0.9168323270858331
corn,eggplant,"P24, P22, G75, M53, F0, F51",0.0016278355360637596,0.8700805216393583
corn,eggplant,"M0, S24, P0, M51, F22, G0",0.0015409073278198902,0.9278148801828799
corn,eggplant,"S75, F24, S24, P0, G51, G53",0.0010491184031618812,0.9271745451073391
corn,eggplant,"G53, F53, F102, P53, S24, P0",0.0011952309582040589,0.8969867276576594
corn,eggplant,"P51, M75, G102, G53, P24, F102",0.0012241062145280216,0.8817846500358254
corn,eggplant,"G53, P0, G51, M102, M53, S24",8.817833512059893e-4,0.957624705095527
corn,eggplant,"S51, M24, G102, G53, S24, F53",0.0014450779303678252,0.9294043686256619
corn,eggplant,"S53, P102, G22, P51, S22, F75",0.0014121627172560215,0.8770188710049673
corn,eggplant,"S22, F51, M0, G0, S24, F75",0.0010568735650114828,0.9420310815291859
corn,eggplant,"M75, M51, S0, F22, P51, F51",0.0014441369438156204,0.9240718057594797
corn,eggplant,"M75, S51, M102, F0, S22, G22",0.0010850271011009027,0.934566678860218
corn,eggplant,"F24, G22, S53, F75, M75, P24",0.0012574239692155931,0.8830026338959355
corn,eggplant,"P0, F53, S24, M102, G53, M0",0.0013343933956990281,0.936209412136977
corn,eggplant,"S24, G24, G102, F24, S53, S22",0.0011765302370327828,0.9344623322262341
corn,eggplant,"P0, G53, M102, F53, P53, F24",0.0013907925417263654,0.8883145693826819
corn,eggplant,"P53, S24, G53, G102, F53, S51",9.178726188225613e-4,0.8882732941321684
corn,eggplant,"M51, F53, G0, S51, M24, S22",0.0012421395008211087,0.9143285537083911
corn,eggplant,"G53, G51, M102, P0, F24, S24",0.0010816222793832344,0.9224540677668941
corn,eggplant,"S102, S0, S51, S22, P22, G22",8.822754226100155e-4,0.9360560582550811
corn,eggplant,"M51, S24, F22, G0, F24, S53",0.0012384387550843175,0.9140595358127971
corn,eggplant,"F24, S0, S24, G53, G51, S75",7.763201118163517e-4,0.9295254519635111
corn,eggplant,"F24, S24, S51, S0, P102, G51",0.0012337340758935497,0.93838590124062
corn,eggplant,"S24, F0, G51, F102, F53, M53",0.0010528465417374811,0.962315899222744
corn,eggplant,"F24, S53, F51, S24, G51, P102",0.0011838864835188021,0.9328774355182461
corn,eggplant,"P24, P22, M75, S53, G22, G51",0.0013427509208252576,0.8830026338959355
corn,eggplant,"S0, S51, F102, G75, S22, P51",9.125218085502945e-4,0.9168323270858331
corn,eggplant,"P51, S51, F53, P75, M24, S22",0.001088920258443366,0.920665393188491
corn,eggplant,"M0, P75, S51, F53, S22, F22",0.0013657249444192535,0.920665393188491
corn,eggplant,"G22, S51, P22, S0, S22, M102",0.001375175948235051,0.925303111554669
corn,eggplant,"P102, S24, M24, F0, G53, G51",9.659575084611059e-4,0.96977302734937
corn,eggplant,"P0, M24, S24, F53, P53, S102",9.58830025782829e-4,0.9582502425137469
corn,eggplant,"F24, P51, G53, S75, F53, G24",0.0016956375247147912,0.8527356845953991
