,0,1,2
0,-5.2883595e-05,-7.4362666e-05,6.819382e-05
1,0.58127326,0.00074643106,0.5566561
2,-0.3959205,0.056261405,-0.44338423
3,-0.12968077,0.58560663,0.27784115
4,-0.35969338,0.46214333,0.2993607
5,0.010226999,0.4837311,-0.6420744
6,-0.068213284,0.33296067,0.2123792
7,-0.19645178,0.26865777,-0.25740245
8,0.9165997,-0.0826562,0.7859013
9,-0.20402817,-0.3877338,-0.18388937
10,-0.28530896,-0.28410196,0.10062829
11,0.07773995,-0.23827544,0.16566056
12,0.09971991,-0.3815025,-0.75471723
13,0.31286612,-0.36524996,0.29768127
14,-0.0799878,-0.42656195,-0.04610689
15,0.52748615,0.4521967,0.4198811
16,-0.13327587,0.2181751,-0.30414402
17,0.26275232,0.4566237,0.11428699
18,0.13749243,0.38350978,0.21087852
19,0.2814225,0.6291762,-0.638794
20,0.2734881,0.65459424,0.45020148
21,0.22312444,0.34650746,-0.18308319
22,1.1245605,0.10784796,1.1506131
23,-0.77683586,-0.062012523,-0.58626586
24,-1.1787739,0.35043022,-0.1549337
25,-0.87355083,0.22464032,-0.14448619
26,-0.09949363,0.16951865,-0.9778893
27,-0.47142667,0.33086482,0.4273959
28,-0.2953404,-0.03470962,-0.6003179
29,0.81457305,-0.60762215,0.8864597
30,-0.39335707,-0.6633277,-0.20650357
31,-0.4184545,-0.34213522,0.29190144
32,0.082722545,-0.4627099,0.35896134
33,0.5081231,-0.71391654,-0.5396506
34,0.33052185,-0.49974796,0.43043247
35,0.085141644,-0.6917852,-0.4031011
