concept,texture_id,avg_rating
above,F0,0.3952702702702703
above,F102,0.46621621621621623
above,F22,0.32094594594594594
above,F24,0.3952702702702703
above,F51,0.3547297297297297
above,F53,0.3344594594594595
above,F75,0.3108108108108108
above,G0,0.375
above,G102,0.33108108108108103
above,G22,0.38541666666666663
above,G24,0.3885135135135135
above,G51,0.4560810810810811
above,G53,0.3581081081081081
above,G75,0.3819444444444444
above,M0,0.3819444444444444
above,M102,0.3581081081081081
above,M22,0.31081081081081086
above,M24,0.2804054054054054
above,M51,0.3888888888888889
above,M53,0.3243243243243243
above,M75,0.28040540540540543
above,P0,0.44932432432432434
above,P102,0.4256756756756757
above,P22,0.3918918918918919
above,P24,0.39583333333333337
above,P51,0.32770270270270274
above,P53,0.3344594594594595
above,P75,0.39864864864864863
above,S0,0.40202702702702703
above,S102,0.3952702702702703
above,S22,0.3344594594594595
above,S24,0.30405405405405406
above,S51,0.35135135135135137
above,S53,0.31081081081081086
above,S75,0.3783783783783784
airplane,F0,0.49324324324324326
airplane,F102,0.31418918918918914
airplane,F22,0.46621621621621623
airplane,F24,0.4189189189189189
airplane,F51,0.40202702702702703
airplane,F53,0.3581081081081081
airplane,F75,0.3581081081081081
airplane,G0,0.6891891891891891
airplane,G102,0.27702702702702703
airplane,G22,0.49324324324324326
airplane,G24,0.5371621621621622
airplane,G51,0.5236486486486487
airplane,G53,0.6114864864864865
airplane,G75,0.4864864864864865
airplane,M0,0.5574324324324325
airplane,M102,0.42229729729729726
airplane,M22,0.5135135135135135
airplane,M24,0.44256756756756754
airplane,M51,0.45270270270270274
airplane,M53,0.5844594594594594
airplane,M75,0.40202702702702703
airplane,P0,0.6824324324324325
airplane,P102,0.24324324324324326
airplane,P22,0.34797297297297297
airplane,P24,0.3298611111111111
airplane,P51,0.39864864864864863
airplane,P53,0.44791666666666663
airplane,P75,0.27702702702702703
airplane,S0,0.2905405405405405
airplane,S102,0.23310810810810811
airplane,S22,0.25
airplane,S24,0.25675675675675674
airplane,S51,0.22972972972972974
airplane,S53,0.2804054054054054
airplane,S75,0.2533783783783784
angry,F0,0.1527777777777778
angry,F102,0.2857142857142857
angry,F22,0.28125
angry,F24,0.2326388888888889
angry,F51,0.3263888888888889
angry,F53,0.16666666666666669
angry,F75,0.2152777777777778
angry,G0,0.19642857142857145
angry,G102,0.48958333333333337
angry,G22,0.3645833333333333
angry,G24,0.2638888888888889
angry,G51,0.30208333333333337
angry,G53,0.21428571428571427
angry,G75,0.3506944444444444
angry,M0,0.1597222222222222
angry,M102,0.3090277777777778
angry,M22,0.1423611111111111
angry,M24,0.13194444444444448
angry,M51,0.21527777777777782
angry,M53,0.15625
angry,M75,0.2743055555555556
angry,P0,0.1597222222222222
angry,P102,0.6392857142857142
angry,P22,0.6076388888888888
angry,P24,0.5555555555555556
angry,P51,0.48958333333333337
angry,P53,0.5034722222222222
angry,P75,0.5625
angry,S0,0.1527777777777778
angry,S102,0.3263888888888889
angry,S22,0.2465277777777778
angry,S24,0.2847222222222222
angry,S51,0.2951388888888889
angry,S53,0.2743055555555556
angry,S75,0.2326388888888889
apple,F0,0.5104166666666666
apple,F102,0.21785714285714286
apple,F22,0.24642857142857144
